id,sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,class
0,7.411802620405043,2.435235933438915,1.236291208571319,0.3951023880002271,Iris-setosa
1,6.150940658463558,2.0585159105373476,4.249964722535199,-0.04599679663571976,Iris-setosa
2,6.444758695700493,3.484995481754875,0.44685911635946907,0.7084024703827059,Iris-setosa
3,6.605248760101988,2.3248370734857966,0.3081084620805947,0.012924600967802735,Iris-setosa
4,5.663883136715316,3.0300801893399547,1.27913408608643,2.374452517022791,Iris-versicolor
5,8.310326184356267,3.2222387429087327,0.9171205984271065,1.186830367144938,Iris-setosa
6,6.996614387215377,2.3564378351838076,3.300723086645399,-0.173750065183427,Iris-versicolor
7,6.474743348603949,3.2526710146599207,1.3084083525401746,0.8947743756643805,Iris-setosa
8,6.733283353407833,1.8779305784496232,3.7746146620234686,-0.23483324168996517,Iris-virginica
9,5.656424607460876,2.553965486335212,4.576664235067064,0.348610454382612,Iris-setosa
10,6.670636798364697,3.0716703181718814,1.1384722543762185,1.5520187183402936,Iris-virginica
11,7.984488688542593,3.164667342397766,1.416027261297198,-0.18073077022668016,Iris-versicolor
12,8.647130816301312,2.414590327569594,0.7611789809030859,1.3754437979969567,Iris-virginica
13,7.19016426279699,2.1362720460965137,3.205629735157723,0.9639679241927922,Iris-virginica
14,6.320837084167728,2.668573548212146,0.929093324238368,0.9515522927697683,Iris-virginica
15,5.879595083370744,2.215977899314995,0.3862789332028056,1.9138270145020055,Iris-setosa
16,6.320163521610974,2.618965330981507,5.933302188900474,0.9498803713385913,Iris-versicolor
17,7.725276347049706,3.3109607392064992,4.135270967325494,1.0998002747571656,Iris-versicolor
18,8.200133298779642,2.6493962402705202,0.824651139968506,0.5444345942481246,Iris-virginica
19,7.815299616949977,2.1245493889312184,4.386190343924243,-0.3939689031351938,Iris-virginica
20,6.278057843212007,2.9827798805310133,1.9893551696785923,0.3645579141500016,Iris-versicolor
21,6.527119252273037,3.0795832798690292,0.5401410987902614,0.04578566678960086,Iris-setosa
22,7.579161801905084,2.4319422282968475,0.27038334944942033,0.9411743596486978,Iris-virginica
23,8.072620444603334,2.1195056479287295,0.334848506108538,2.9071052553272776,Iris-versicolor
24,6.696570805945675,1.8544979826482946,5.9592623486752645,0.4542440957070686,Iris-versicolor
25,7.6315338218835445,3.0689632112258614,5.616980802271909,0.8408006434685307,Iris-virginica
26,5.951704703104733,2.613746413273601,3.6373088266510853,0.5839892507699933,Iris-virginica
27,6.352806287575703,2.3856159421641516,0.7814774203256621,0.07614751106459167,Iris-setosa
28,8.035644649391852,2.795132971972819,3.8336839389628405,2.3799505010738695,Iris-versicolor
29,6.813169087201089,2.5185134864447045,0.5880010068557511,0.6233584341376865,Iris-virginica
30,6.515871723051564,2.279109960610858,0.9770574221810832,1.6478610945015744,Iris-setosa
31,7.613956271178397,2.2607387812234596,1.0634777420241064,1.001789931446123,Iris-versicolor
32,6.056807736561275,2.4753896246821174,4.190870284550842,-0.20008060439217956,Iris-setosa
